key,speciesKey,nameKey,kingdom,kingdomKey,datasetKey,scientificName,canonicalName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,numDescendants,lastCrawled,lastInterpreted,issues,taxonID,species,sK,parentKey,parent,n_tot
220011720,2870583,8798737,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Pistia stratiotes L.,Pistia stratiotes,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.809+00:00,,dvw-target-list:taxon:21e5a6919ccfea1fb1588ce43785e2e7,Pistia stratiotes,220011720,220011713,Plantae,NA
220011726,3084923,483831,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides,(Mart.) Griseb.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.833+00:00,,dvw-target-list:taxon:b7674f5e6e0f6beed1f1360ed992f885,Alternanthera philoxeroides,220011726,220011713,Plantae,NA
220011727,5328593,856326,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Aponogeton distachyos L.f.,Aponogeton distachyos,L.f.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.837+00:00,,dvw-target-list:taxon:cc2e5618d0bd66a8847d37ad2ca30567,Aponogeton distachyos,220011727,220011713,Plantae,NA
220011728,2703041,1019215,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Arundo donax L.,Arundo donax,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.843+00:00,,dvw-target-list:taxon:e1997f351363626fcab7e94e3a4be505,Arundo donax,220011728,220011713,Plantae,NA
220011729,3170247,1030142,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Asclepias syriaca L.,Asclepias syriaca,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.851+00:00,,dvw-target-list:taxon:a75a5b3dd389493da0a2d178ed1d304c,Asclepias syriaca,220011729,220011713,Plantae,NA
220011731,3129663,1254694,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Baccharis halimifolia L.,Baccharis halimifolia,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.864+00:00,,dvw-target-list:taxon:39645efd6ea88c7d8f4dc15682fd846f,Baccharis halimifolia,220011731,220011713,Plantae,NA
220011732,2882443,1755435,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Cabomba caroliniana A.Gray,Cabomba caroliniana,A.Gray,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.869+00:00,,dvw-target-list:taxon:ea766634c55676ed976406ac0272e3fb,Cabomba caroliniana,220011732,220011713,Plantae,NA
220011733,3084841,159423600,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Carpobrotus N.E.Br.,Carpobrotus,N.E.Br.,SCIENTIFIC,NA,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.876+00:00,,dvw-target-list:taxon:1f27f30466bf8d31e55abb674d056c17,NA,NA,220011713,Plantae,NA
220011735,5329260,3840381,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Egeria densa Planch.,Egeria densa,Planch.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.885+00:00,,dvw-target-list:taxon:e0c9e44379e9b574f8a2aced7a621b28,Egeria densa,220011735,220011713,Plantae,NA
220011736,2765940,3844232,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Eichhornia crassipes (Mart.) Solms,Eichhornia crassipes,(Mart.) Solms,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.889+00:00,,dvw-target-list:taxon:a2cec2b346f59eae8fe00ebf20ad3517,Eichhornia crassipes,220011736,220011713,Plantae,NA
220011742,6063677,4887170,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Gymnocoronis spilanthoides DC.,Gymnocoronis spilanthoides,DC.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.913+00:00,,dvw-target-list:taxon:e553f78520ea2b9c296ccc402e979787,Gymnocoronis spilanthoides,220011742,220011713,Plantae,NA
220011746,5329570,5381498,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Hydrilla verticillata (L.f.) Royle,Hydrilla verticillata,(L.f.) Royle,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.927+00:00,,dvw-target-list:taxon:34ee6ae63064bff93b2d0cc21eaaf1a3,Hydrilla verticillata,220011746,220011713,Plantae,NA
220011755,5329643,6330941,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine,Limnobium laevigatum,(Humb. & Bonpl. ex Willd.) Heine,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.957+00:00,,dvw-target-list:taxon:66c46fc6c37c6b6838861b0ce37b9595,Limnobium laevigatum,220011755,220011713,Plantae,NA
220011762,3026819,10601715,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Spiraea tomentosa L.,Spiraea tomentosa,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.983+00:00,,dvw-target-list:taxon:b806d04fcdd9a8678bf8399059828b76,Spiraea tomentosa,220011762,220011713,Plantae,NA
220011765,5274863,12726195,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Salvinia Ã—molesta D.S.Mitch.,Salvinia molesta,D.S.Mitch.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.993+00:00,,dvw-target-list:taxon:17a3cc874ab3266e91e038046bc0c269,Salvinia molesta,220011765,220011713,Plantae,NA
220011767,3114229,9940467,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Rudbeckia laciniata L.,Rudbeckia laciniata,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:29.002+00:00,,dvw-target-list:taxon:cfd3570184febbd1e35e47253a124a80,Rudbeckia laciniata,220011767,220011713,Plantae,NA
220011770,3026454,10600729,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Spiraea salicifolia L.,Spiraea salicifolia,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:29.020+00:00,,dvw-target-list:taxon:439fb846bd32d3654ecab18a3c79571f,Spiraea salicifolia,220011770,220011713,Plantae,NA
